id,group,title,states,is_active,supersedes,bodyText,rule_type,content_type,verification_status,notes,effective_from,last_checked,choice_group,is_default,topic_key
edu-wear-tear-void-co,Security Deposit,Never Charge a Tenant for Normal Wear and Tear or Preexisting Issues,CO,TRUE,,"Any lease provision assigning a tenant a fee or charge for repairs, cleaning, or other work due to normal wear and tear, or for damage/defective conditions that existed before their tenancy began, is void under Colorado law (HB 25-1249). This was actually the reason the Use of Security Deposit clause got corrected during this review - worth keeping in mind for any custom deposit-related language you write yourself.",PROHIBITED,LANDLORD_EDUCATION,VERIFIED,"CO: CITED — C.R.S. § 38-12-103(7)(b). Confirmed (Claude Browser follow-up, 2026-09-13). Related, not yet its own row: (7)(a) is broader - voids any provision waiving or modifying a Part 1 tenant benefit generally, not just the wear-and-tear charge. (Restored 2026-09-25 from lease-clause-citations-CO.csv, which still holds the same data.)",2026-08-20,2026-09-13,,,wear-tear-void
dv-safe-homes-wy,Default & Termination,Domestic Abuse / Sexual Violence — Rent Liability After Vacating,WY,TRUE,,"Wyoming's Safe Homes Act provides Tenant a defense against a claim for unpaid rent under certain circumstances. If Tenant or a member of Tenant's household vacates the property because of a credible imminent threat of domestic abuse or sexual violence at the property, or because Tenant or a household member was a victim of domestic abuse or sexual violence occurring at the property within the preceding 60 days, Tenant will not be liable for rent accruing after the date Tenant vacates. If hospitalization, or seeking shelter or counseling related to the abuse or violence, prevented Tenant from giving notice within that 60-day window, Tenant may still give notice as soon as practicable afterward. To use this protection, Tenant must provide Landlord written notice at least 7 days before vacating, stating the reason for vacating and, where applicable, the date of the incident along with supporting medical, court, or police evidence. This Section does not excuse rent owed for any period before Tenant vacated and gave the required notice, and does not limit Landlord's other lawful remedies for nonpayment of rent accruing before that date.",CONDITIONAL,LEASE_CLAUSE,VERIFIED,"WY added 2026-08-21. Citation: W.S. 1-21-1303(a),(b),(d). Statutorily-accurate/defense-framed version — SELECTED variant per Taylor's decision 2026-08-21 (chose over the proactive-grant alternative, see dv-safe-homes-proactive-wy). Source: law.justia.com/codes/wyoming/title-1/chapter-21/article-13/section-1-21-1303/. verified_date: 2026-08-21. verified_by: Taylor + session research. | Cross-state plain-language cleanup (Minnesota session, follow-up to MN's plain-language audit): long compound sentence split into shorter ones, no substantive change. Not a legal requirement for this clause's other tagged states (only MN's Plain Language Contract Act, Minn. Stat. §325G.31, was confirmed to apply this project) — done as a general readability improvement since the pattern was found library-wide, not MN-specific.",2026-08-21,2026-08-23,,,dv-safe-homes
dv-safe-homes-proactive-wy,Default & Termination,"Domestic Abuse / Sexual Violence — Early Termination Right (alternate posture, not selected)",WY,FALSE,,"If Tenant or a member of Tenant's household experiences a credible imminent threat of domestic abuse or sexual violence at the property, or was a victim of domestic abuse or sexual violence at the property within the preceding 60 days, Tenant may terminate this Lease and vacate the property. If hospitalization, or seeking shelter or counseling related to the abuse or violence, prevented Tenant from acting within that 60-day window, Tenant may still act as soon as practicable afterward. To do so, Tenant must provide Landlord written notice at least 7 days before vacating, stating the reason and, where applicable, the date of the incident along with supporting medical, court, or police evidence. Upon proper notice and vacating, Tenant owes no further rent for any period after the date Tenant vacates.",CONDITIONAL,LEASE_CLAUSE,VERIFIED,"WY added 2026-08-21, is_active FALSE by design — NOT the selected variant. Goes beyond W.S. 1-21-1303's actual mechanic (a court-tested affirmative defense) by proactively granting an unconditional lease-level termination right on notice+evidence alone, without preserving Landlord's ability to contest weak evidence in court first. Kept drafted and logged (not deleted) in case a future 'per-property posture setting' feature makes this selectable. Citation basis same as dv-safe-homes-wy: W.S. 1-21-1303(a),(b). | Cross-state plain-language cleanup (Minnesota session, follow-up to MN's plain-language audit): long compound sentence split into shorter ones, no substantive change. Not a legal requirement for this clause's other tagged states (only MN's Plain Language Contract Act, Minn. Stat. §325G.31, was confirmed to apply this project) — done as a general readability improvement since the pattern was found library-wide, not MN-specific.",2026-08-21,2026-08-23,,,dv-safe-homes-proactive
edu-safe-homes-nondiscrimination-wy,Disclosures,Can't Terminate a Tenancy Solely for Domestic Abuse / Sexual Violence Victim Status,WY,TRUE,,"Wyoming law prohibits terminating a tenancy based solely on a tenant's, applicant's, or household member's status as a victim of domestic abuse or sexual violence (W.S. 1-21-1303(c)). This does not prevent an adverse housing decision based on other lawful factors you're otherwise aware of — it specifically targets using victim status itself as the reason. Also logged as a standing cross-check: any future WY clause or custom termination language should be checked against this rule before use.",PROHIBITED,LANDLORD_EDUCATION,VERIFIED,"WY added 2026-08-21. Citation: W.S. 1-21-1303(c). Dual-logged as both content and a standing validation check, same pattern as CO's Part 4 police-call rule. Source: law.justia.com/codes/wyoming/title-1/chapter-21/article-13/section-1-21-1303/.",2026-08-21,2026-08-21,,,safe-homes-nondiscrimination
edu-safe-homes-nonwaiver-wy,Disclosures,Safe Homes Act Rights Can Never Be Waived or Modified,WY,TRUE,,"The protections in Wyoming's Safe Homes Act (W.S. 1-21-1301 through 1304) cannot be waived or modified by a lease or any separate agreement between landlord and tenant (W.S. 1-21-1304). Keep this in mind for any custom termination or waiver language you write yourself — attempting to contract around these protections would be unenforceable. Also logged as a standing cross-check, same pattern as CO's deposit-nonwaiver rule.",PROHIBITED,LANDLORD_EDUCATION,VERIFIED,"WY added 2026-08-21. Citation: W.S. 1-21-1304. Source: law.justia.com/codes/wyoming/title-1/chapter-21/article-13/section-1-21-1304/. Note absence flagged separately: unlike CO's version of this protection, WY's Safe Homes Act (W.S. 1-21-1301–1304, read in full) contains no landlord confidentiality duty regarding victim status/new address — treated as a genuine state difference, not a research gap, pending any future correction.",2026-08-21,2026-08-21,,,safe-homes-nonwaiver
edu-repair-cost-termination-wy,Landlord Responsibilities,You May Refuse an Uneconomical Repair and Terminate Instead,WY,TRUE,,"If a tenant notifies you of a habitability issue and the cost to fix it would be unreasonable relative to the rent charged and the nature of the property, Wyoming law lets you refuse the repair and terminate the rental agreement instead (W.S. 1-21-1203(d)). You must notify the tenant in writing and give them no less than 10 and no more than 20 days to find substitute housing. Rent is prorated to the tenant's move-out date, and any balance plus the deposit gets refunded per the standard deposit-return rules. This is a real option worth knowing about for a low-rent unit facing a major, disproportionate repair cost — not something to state to the tenant in the lease itself, since it only becomes relevant if you choose to invoke it.",CONDITIONAL,LANDLORD_EDUCATION,VERIFIED,WY added 2026-08-21. Citation: W.S. 1-21-1203(d). Classified LANDLORD_EDUCATION per Taylor's 2026-08-21 call (overrode initial LEASE_CLAUSE recommendation). Source: law.justia.com/codes/wyoming/title-1/chapter-21/article-12/section-1-21-1203/.,2026-08-21,2026-08-21,,,repair-cost-termination
habitability-baseline-wy,Landlord Responsibilities,Habitability Baseline,WY,TRUE,landlord-maintenance,"Landlord will maintain the property in a safe and sanitary condition fit for human habitation, including operational electrical, heating, and plumbing systems, with hot and cold running water, unless otherwise agreed in writing by both parties. Tenant will cooperate in maintaining the property consistent with this Section.",REQUIRED,LEASE_CLAUSE,VERIFIED,"WY added 2026-08-21. Citation: W.S. 1-21-1202(a),(b). Source: law.justia.com/codes/wyoming/title-1/chapter-21/article-12/section-1-21-1202/. Note: (d) of this section allows duties to be reassigned/modified by explicit written agreement — logged separately as edu-habitability-modifiable-wy rather than folded into this clause, since most leases won't modify the baseline. (a) also carries a seasonal-rental-unit carve-out (e.g. summer cabins without utilities) — N/A for typical Steinoak use case, not drafted.",2026-08-21,2026-08-21,,,landlord-maintenance
renter-duties-wy,Tenant Responsibilities,Tenant's Duties,WY,TRUE,,"Tenant will keep the property clean and safe and not unreasonably burden any common area; dispose of all garbage and waste in a clean and safe manner; keep all plumbing fixtures as sanitary as their condition permits; and use all electrical, plumbing, sanitary, heating, and other facilities and appliances in a reasonable manner. Tenant will also occupy the property only in the manner for which it was designed, not increase the number of occupants above what this Lease specifies without Landlord's prior written permission, remain current on all payments required under this Lease, and comply with all lawful requirements of this Lease. Before vacating, Tenant will remove all property and garbage belonging to Tenant or Tenant's guests and clean the property to the condition it was in at the start of this Lease.",REQUIRED,LEASE_CLAUSE,VERIFIED,"WY added 2026-08-21. Citation: W.S. 1-21-1204(a)(i)-(viii). Source: law.justia.com/codes/wyoming/title-1/chapter-21/article-12/section-1-21-1204/. | Cross-state plain-language cleanup (Minnesota session, follow-up to MN's plain-language audit): long compound sentence split into shorter ones, no substantive change. Not a legal requirement for this clause's other tagged states (only MN's Plain Language Contract Act, Minn. Stat. §325G.31, was confirmed to apply this project) — done as a general readability improvement since the pattern was found library-wide, not MN-specific.",2026-08-21,2026-08-23,,,renter-duties
prohibited-acts-renter-wy,Tenant Responsibilities,Prohibited Acts by Tenant,WY,TRUE,,"Tenant will not intentionally or negligently destroy, deface, damage, or impair any part of the property, or knowingly permit any other person to do so; interfere with another person's peaceful enjoyment of the property; or unreasonably deny access to, refuse entry to, or withhold consent to enter the property to Landlord or Landlord's agent for the purpose of making repairs, inspecting the property, or showing it for rent or sale.",PROHIBITED,LEASE_CLAUSE,VERIFIED,"WY added 2026-08-21. Citation: W.S. 1-21-1205(a)(i)-(iii). Source: law.justia.com/codes/wyoming/title-1/chapter-21/article-12/section-1-21-1205/. Note absence: WY has no statutory advance-notice-for-entry requirement — this clause only bars the tenant from unreasonably refusing entry, it does not itself establish a landlord notice obligation. Flagged in decision log §2 as an open absence to verify.",2026-08-21,2026-08-21,,,prohibited-acts-renter
nonrefundable-deposit-notice-wy,Security Deposit,Nonrefundable Portion of Deposit,WY,TRUE,,"Of Tenant's total security deposit of {{security_deposit}}, {{nonrefundable_deposit_amount}} is nonrefundable and will not be returned to Tenant regardless of the condition of the property at the end of this Lease. (If no portion of the deposit is nonrefundable, this amount is $0.)",REQUIRED,LEASE_CLAUSE,VERIFIED,"WY added 2026-08-21. Citation: W.S. 1-21-1207. Source: law.justia.com/codes/wyoming/title-1/chapter-21/article-12/section-1-21-1207/. Genuine REQUIRED disclosure — satisfies bucket-test criterion #1. Note: statute requires this be stated in the agreement AND separately, in writing, at the time the deposit is collected — this clause satisfies the first prong only; the second is a process step, logged separately as edu-nonrefundable-deposit-separate-notice-wy so it isn't lost.",2026-08-21,2026-08-21,,,nonrefundable-deposit-notice
edu-nonrefundable-deposit-separate-notice-wy,Security Deposit,Give Separate Written Notice of Nonrefundable Deposit at Collection Time,WY,TRUE,,"Wyoming law requires you to give the tenant separate written notice that a portion of their deposit is nonrefundable at the time you actually collect the deposit — not just state it in the lease itself (W.S. 1-21-1207). Stating it in the lease satisfies one part of the requirement; you should also hand or send the tenant a standalone written notice when you take the deposit, to be safe.",REQUIRED,LANDLORD_EDUCATION,VERIFIED,WY added 2026-08-21. Citation: W.S. 1-21-1207. Companion item to nonrefundable-deposit-notice-wy — covers the process/timing half of the same statutory requirement.,2026-08-21,2026-08-21,,,nonrefundable-deposit-separate-notice
security-deposit-return-wy,Security Deposit,Return of Security Deposit,WY,TRUE,security-deposit-return,"Within 30 days after termination of this Lease, or within 15 days after receiving Tenant's forwarding address, whichever is later, Landlord will deliver or mail to Tenant the balance of Tenant's deposit and any prepaid rent, along with a written itemization of any deductions and the reasons for them. If the property is damaged, this period is extended by an additional 30 days. Tenant will notify Landlord in writing, within 30 days after termination, of the address where payment and notice should be sent.",REQUIRED,LEASE_CLAUSE,VERIFIED,"WY added 2026-08-21. Citation: W.S. 1-21-1208(a). Source: law.justia.com/codes/wyoming/title-1/chapter-21/article-12/section-1-21-1208/. Mechanics differ materially from CO's security-deposit-use clause (different timelines, different extension trigger) — drafted independently rather than adapted from the CO version. | BODYTEXT EDIT 2026-08-28 (deposit split): removed deposit-application sentence, now carried by the generic security-deposit-use clause (WY newly tagged). Return mechanics only; all elements still sourced to Wyo. Stat. 1-21-1208(a).",2026-08-21,2026-08-28,,,security-deposit-return
utility-deposit-return-wy,Security Deposit,Return of Separate Utility Deposit,WY,TRUE,,"If Landlord holds a deposit identified separately as a utility deposit, Landlord will refund it within 10 days after Tenant provides a satisfactory showing that all utility charges Tenant incurred have been paid. If Tenant has not made that showing within 45 days after termination of this Lease, Landlord will apply the utility deposit toward Tenant's outstanding utility debt within 15 days after that period ends, and will refund any remaining balance within 7 days after applying it, or within 15 days after receiving Tenant's forwarding address, whichever is later.",CONDITIONAL,LEASE_CLAUSE,VERIFIED,WY added 2026-08-21. Citation: W.S. 1-21-1208(b). Source: same as security-deposit-return-wy. Marked CONDITIONAL — only applicable where Landlord actually collects and separately identifies a utility deposit; not all Steinoak WY leases will use this clause.,2026-08-21,2026-08-21,,,utility-deposit-return
unpaid-damages-interest-wy,Security Deposit,Interest on Unpaid Damages Beyond the Deposit,WY,TRUE,,"If Tenant damages the property, Landlord may apply the security deposit to those damages as provided in this Lease's security deposit section. Tenant remains liable for any damages beyond what the deposit covers, plus interest at ten percent (10%) per year on any unpaid amount, and Landlord may pursue any other legal action available to recover damages Tenant caused to the property.",CONSTRAINED,LEASE_CLAUSE,VERIFIED,"WY added 2026-08-21. Citation: W.S. 1-21-1211(b). Source: law.justia.com/codes/wyoming/title-1/chapter-21/article-12/section-1-21-1211/ (also cross-checked via FindLaw mirror). CONSTRAINED — 10% rate is statutory, not Landlord's choice. 1211(a) (sheriff removal of possessions after a court eviction order) is OUT_OF_SCOPE — court/eviction-process mechanics, not drafted.",2026-08-21,2026-08-21,,,unpaid-damages-interest
abandoned-property-wy,Default & Termination,Property Abandoned After Termination,WY,TRUE,,"Upon regaining lawful possession of the property after termination of this Lease, Landlord may immediately dispose of any trash or property Landlord reasonably believes to be hazardous, perishable, or valueless and abandoned. Any property remaining in the unit after termination is presumed valueless and abandoned. For any other property of apparent value, Landlord will provide Tenant written notice describing the property and stating that it will be disposed of seven (7) days after the notice is served unless Tenant takes possession of the property or notifies Landlord in writing of an intent to do so within that period. If Tenant responds in writing within seven (7) days stating an intent to take possession, Landlord will hold the property for an additional seven (7) days after receiving that response; if Tenant has not taken possession by the end of that additional period, the property is conclusively deemed abandoned. Landlord may charge Tenant the actual or reasonable cost of removing and storing the property, and Tenant must pay these costs before removing the property. Landlord is not responsible for any loss to Tenant resulting from storage.",REQUIRED,LEASE_CLAUSE,VERIFIED,"WY added 2026-08-21. Citation: W.S. 1-21-1210. Source: law.justia.com/codes/wyoming/title-1/chapter-21/article-12/section-1-21-1210/. Distinct enough from a generic surrender/holdover clause to get its own id rather than folding into an existing one. Notice-service methods (certified mail / personal service / newspaper publication) logged separately as edu-abandoned-property-notice-methods-wy, since those are process mechanics for Landlord to follow, not tenant-facing lease text.",2026-08-21,2026-08-21,,,abandoned-property
edu-abandoned-property-notice-methods-wy,Notices & General,Valid Ways to Serve the Abandoned-Property Notice,WY,TRUE,,"Wyoming law recognizes three valid ways to serve the abandoned-property notice: certified mail to an address the tenant gave you in writing for this purpose, personal service under Wyoming Rule of Civil Procedure 4, or publication in a newspaper published in or widely circulated in the county where the property is located (W.S. 1-21-1210(a)(i)). Any of the three starts the 7-day clock — publication is a useful fallback if a tenant vanishes without leaving a forwarding address.",REQUIRED,LANDLORD_EDUCATION,VERIFIED,WY added 2026-08-21. Citation: W.S. 1-21-1210(a)(i)(A)-(C). Companion item to abandoned-property-wy.,2026-08-21,2026-08-21,,,abandoned-property-notice-methods
edu-habitability-materiality-wy,Landlord Responsibilities,Habitability Duties Don't Cover Trivial Issues,WY,TRUE,,"Wyoming's habitability requirements don't apply to breakage, malfunctions, or conditions that don't materially affect the physical health or safety of an ordinary renter (W.S. 1-21-1202(c)). A minor cosmetic issue or trivial malfunction isn't a habitability violation under this statute — useful context if a tenant frames something minor as a habitability problem.",RECOMMENDED,LANDLORD_EDUCATION,VERIFIED,WY added 2026-08-21. Citation: W.S. 1-21-1202(c). Source: law.justia.com/codes/wyoming/title-1/chapter-21/article-12/section-1-21-1202/.,2026-08-21,2026-08-21,,,habitability-materiality
edu-habitability-modifiable-wy,Landlord Responsibilities,Habitability Duties Can Be Reassigned by Written Agreement,WY,TRUE,,"Unlike some states, Wyoming lets you reassign or modify the habitability-related duties under this article by explicit written agreement signed by both parties (W.S. 1-21-1202(d)) — for example, shifting responsibility for a specific utility or system to the tenant where that makes practical sense for a given property. This flexibility isn't automatic; it requires an explicit written agreement, not just silence in the lease.",RECOMMENDED,LANDLORD_EDUCATION,VERIFIED,WY added 2026-08-21. Citation: W.S. 1-21-1202(d). Flagged as a genuinely useful and WY-specific flexibility — worth revisiting if Steinoak ever supports per-property custom duty-reassignment clauses.,2026-08-21,2026-08-21,,,habitability-modifiable
edu-repair-notice-process-wy,Landlord Responsibilities,How to Respond to a Tenant's Habitability Notice,WY,TRUE,,"If a tenant who is current on rent gives you written notice of a suspected habitability problem, you must either start fixing it or notify them in writing that you dispute the claim, within a reasonable time — sent by certified mail or in the manner used for eviction notices (W.S. 1-21-1203(b)). You are not required to fix anything caused by the tenant's own misuse of the property (§1203(c)), and you are never liable under this article for a tenant's claims of mental suffering or anguish (§1203(e)).",REQUIRED,LANDLORD_EDUCATION,VERIFIED,"WY added 2026-08-21. Citation: W.S. 1-21-1203(a)-(c),(e). Source: law.justia.com/codes/wyoming/title-1/chapter-21/article-12/section-1-21-1203/. Companion education item to edu-repair-cost-termination-wy, added prior session (covers §1203(d)).",2026-08-21,2026-08-21,,,repair-notice-process
edu-renter-repair-remedy-wy,Landlord Responsibilities,Tenants Have No Self-Help Repair-and-Deduct Remedy,WY,TRUE,,"Wyoming gives tenants no self-help repair-and-deduct remedy. If you don't fix a notified habitability issue, the tenant's only recourse is to send a follow-up 'notice to repair or correct condition' giving you 3 more days to act, then file a civil action in circuit court (W.S. 1-21-1206). If a court finds you unreasonably refused or failed to use due diligence to correct the condition, it can award the tenant costs, damages (including rent improperly retained), and affirmative relief — including terminating the lease and ordering you to refund the rent balance and deposit within 30 days, with the tenant required to vacate 10 to 20 days after that court-ordered termination.",RECOMMENDED,LANDLORD_EDUCATION,VERIFIED,WY added 2026-08-21. Citation: W.S. 1-21-1206. Source: law.justia.com/codes/wyoming/title-1/chapter-21/article-12/section-1-21-1206/.,2026-08-21,2026-08-21,,,renter-repair-remedy
edu-successor-owner-bound-wy,Disclosures,Deposit Duties Carry Over to a New Owner,WY,TRUE,,"If you sell the property or transfer your interest in it, whoever holds the owner's interest at the time a rental agreement terminates is bound by the nonrefundable-deposit-notice and deposit-deduction rules (W.S. 1-21-1207, 1-21-1208) — meaning deposit obligations carry over to a buyer or successor, not just to you as the original landlord. Worth flagging in any sale or transfer paperwork so a new owner knows they're inheriting this duty.",REQUIRED,LANDLORD_EDUCATION,VERIFIED,"WY added 2026-08-21. Citation: W.S. 1-21-1209. Source: law.justia.com/codes/wyoming/title-1/chapter-21/article-12/section-1-21-1209/. Parallel to CO's edu-identity-change-notice-co, though the WY version is narrower — only binds the successor to the deposit-related duties (1207/1208), not a broader notice-to-tenant duty the way CO's identity-change rule works.",2026-08-21,2026-08-21,,,successor-owner-bound
edu-deposit-noncompliance-penalty-wy,Security Deposit,Penalty for Unreasonably Withholding the Deposit,WY,TRUE,,"If you unreasonably fail to return the deposit balance and itemization within the required time, Wyoming law allows the tenant to recover the full deposit plus court costs (W.S. 1-21-1208(c)) — not just the disputed amount. If you're the prevailing party and a court finds the tenant acted unreasonably in bringing the claim, you may recover your own court costs. Worth a calendar reminder for the 30-day (or 60-day, if there's damage) deadline, since missing it carries real exposure.",PROHIBITED,LANDLORD_EDUCATION,VERIFIED,WY added 2026-08-21. Citation: W.S. 1-21-1208(c). Companion item to security-deposit-return-wy.,2026-08-21,2026-08-21,,,deposit-noncompliance-penalty
edu-no-deposit-cap-interest-account-wy,Security Deposit,"No Deposit Cap, No Interest Requirement, No Separate-Account Requirement",WY,TRUE,,"Wyoming law places no cap on the amount you can charge for a security deposit, does not require you to pay the tenant interest on it, and does not require you to hold it in a separate or interest-bearing account (W.S. 1-21-1207–1211, read in full — none of these appear anywhere in the article). You can set the deposit amount at your discretion and hold the funds however you choose.",RECOMMENDED,LANDLORD_EDUCATION,VERIFIED,"WY added 2026-08-21, proof-of-absence pass. Confirmed by direct full-text read of W.S. 1-21-1207 through 1211 (no cap/interest/account language anywhere) plus 8 independent secondary sources in agreement. One source (hemlane.com/resources/wyoming-security-deposit-laws) claimed a 2023 amendment requiring interest-bearing accounts and a 2/3-month deposit cap — this claim contradicts the primary statute text directly, and contradicts a DIFFERENT paragraph on that same page which states the opposite. Treated as a fabricated/unreliable claim, not a real amendment; explicitly rejected rather than adopted.",2026-08-21,2026-08-21,,,deposit-cap-interest-account
edu-no-entry-notice-statute-wy,Access & Entry,No Statutory Advance-Notice Period for Landlord Entry,WY,TRUE,,"Wyoming law does not set a specific number of hours or days of advance notice you must give before entering the property — the only statutory rule is that Tenant can't unreasonably deny you access for repairs, inspection, or showing the unit (W.S. 1-21-1205(a)(iii)). Many landlords choose to state a specific notice window (commonly 24–48 hours) in the lease itself as a practical courtesy and to set clear expectations, but Wyoming law does not require it.",RECOMMENDED,LANDLORD_EDUCATION,VERIFIED,"WY added 2026-08-21, proof-of-absence pass. Confirmed by direct full-text read of W.S. 1-21-1201–1205 (no numeric notice period anywhere). Secondary sources disagree with each other on what's ""reasonable"" (24 hours, 48 hours, 2 days all cited by different sites) with none citing an actual statute section establishing a number — that disagreement is itself evidence no such statute exists, since a real requirement would produce citation convergence.",2026-08-21,2026-08-21,,,entry-notice-statute
edu-no-rent-increase-statute-wy,Rent & Payment,"No Statutory Rent-Increase Cap, Frequency Limit, or Notice Period",WY,TRUE,,"Wyoming has no rent control, no cap on how much you can raise rent, no limit on how often you can raise it, and no statute requiring a specific notice period before a rent increase takes effect. Rent can't be increased during a fixed-term lease unless the lease itself allows it; for month-to-month tenancies, most landlords give at least one full rental period's notice (commonly 30 days) as a matter of practice — tied to the same convention used to end a month-to-month tenancy — but this is not a codified requirement.",RECOMMENDED,LANDLORD_EDUCATION,VERIFIED,"WY added 2026-08-21, proof-of-absence pass. Confirmed by multiple higher-quality sources explicitly stating ""no statute"" (Nolo's legal encyclopedia, LegalClarity, apartments.com's state-law reference table, AAOA) rather than merely omitting the topic. Broader finding than originally scoped: the original absence list only named a ""rent-increase-frequency cap""; this pass also confirmed no notice-period statute exists either — flagging the wider finding rather than only answering the narrower original question.",2026-08-21,2026-08-21,,,rent-increase-statute
edu-no-mobile-home-park-act-wy,Disclosures,No Separate Mobile-Home-Park Landlord-Tenant Act,WY,TRUE,,"Unlike some states, Wyoming does not have a distinct landlord-tenant act specifically for mobile-home-park lot rentals — mobile home lot tenancies fall under the same Residential Rental Property Act (Article 12) as any other rental. Separate rules exist for mobile homes, but they aren't landlord-tenant law: titling and taxation of the home itself falls under Title 31, Chapter 2, and health/sanitation standards for parks fall under Title 35; siting and zoning are handled locally by individual cities and counties.",RECOMMENDED,LANDLORD_EDUCATION,VERIFIED,"WY added 2026-08-21, proof-of-absence pass. Confirmed via direct search for a named/numbered ""Wyoming Mobile Home Parks Act"" — found no such act; found instead Title 31 Ch.2 Art.5 (titling/taxation) and Title 35 Ch.4 Art.2 (health/sanitation, largely eliminated per §35-4-224) plus local zoning ordinances (e.g. Evanston, Dayton, Cody municipal codes). One source (generisonline.com) and one Hemlane page both described a Wyoming ""Mobile Home Parks Act"" with rent-increase protections — this appears to be either fabricated or conflated with Colorado's actual, differently-named Mobile Home Park Act (C.R.S. Title 38, Art. 12, Part 2); treated as unreliable, not adopted.",2026-08-21,2026-08-21,,,mobile-home-park-act
edu-no-anti-retaliation-statute-wy,Disclosures,No Comprehensive Anti-Retaliation Statute,WY,TRUE,,"Wyoming does not have a standalone statute prohibiting retaliatory rent increases, service reductions, or eviction threats in response to a tenant exercising a legal right (such as reporting a habitability issue). This is different from most states. That said, courts generally disfavor retaliatory conduct as a matter of common-law principle, and a tenant facing eviction may still be able to raise retaliation as a defense if they can show the landlord's action was motivated by the tenant exercising a protected right — so the practical exposure isn't zero even without a codified statute.",RECOMMENDED,LANDLORD_EDUCATION,VERIFIED,"WY added 2026-08-21, proof-of-absence pass. Confirmed by two independent higher-quality sources (LegalClarity, LeaseLenses) explicitly stating no comprehensive statute exists, both also noting the common-law retaliation-defense nuance — included in bodyText so this doesn't read as a blanket ""no exposure"" statement, which would be inaccurate.",2026-08-21,2026-08-21,,,anti-retaliation-statute
edu-carbon-monoxide-detector-building-code-wy,Landlord Responsibilities,"Carbon Monoxide Detectors Come from Building Code, Not the Rental Statute",WY,TRUE,,"Wyoming does not address smoke or carbon monoxide detectors anywhere in the Residential Rental Property Act (Article 12). The requirement instead comes from Wyoming's adoption of the International Residential Code, which generally applies to new construction with fuel-burning appliances or an attached garage — not automatically to existing rental housing. Enforcement and any additional requirements are set locally by individual cities and counties, not by one uniform state rule. Practically: don't assume a detector requirement doesn't exist just because it's absent from the landlord-tenant statute, and check your specific city/county's building and fire code rather than relying on a single statewide answer.",RECOMMENDED,LANDLORD_EDUCATION,VERIFIED,"WY added 2026-08-21, 4th gap-discovery source pass (law outside Title 1). Confirmed via multiple sources agreeing this is IRC-adoption/building-code, not a Title 1 landlord-tenant statute — genuinely outside the scope a pure Article 12 statute-walk would catch, which is exactly what this gap-discovery source exists to find. Flagged as jurisdiction-variable rather than drafted as a uniform LEASE_CLAUSE, since a single statewide clause would misrepresent how enforcement actually works here — same category of caution as the Denver/Boulder municipal-ordinance gap on the CO side, though smaller in scope.",2026-08-21,2026-09-03,,,carbon-monoxide-detector-building-code
edu-no-radon-disclosure-wy,Disclosures,No Statutory Radon Disclosure Requirement,WY,TRUE,,"Unlike Colorado, which requires a radon disclosure on every lease regardless of term length, Wyoming has no statutory radon disclosure requirement at all — not even the lighter-weight version some states use (a standard disclosure form promoted by the state real estate association rather than by statute). Wyoming is one of only a handful of states with no radon disclosure obligation of any kind. This doesn't mean radon isn't a real risk in Wyoming housing — it just means there's no legal requirement to test for it or disclose it before renting the property.",RECOMMENDED,LANDLORD_EDUCATION,VERIFIED,"WY added 2026-08-21, backlog item #1 from session 5's full-library audit (§11). Confirmed via 6 independent sources: a dedicated radon-industry resource (radonresources.com) explicitly lists WY among 7 states with zero radon disclosure requirement, whether statutory or association-form-based; 5 further sources listing WY's actual required disclosures (Innago, Nolo, Azibo, AAOA, lpmccasper.com) each name exactly 2 items — lead paint and nonrefundable-deposit notice — with radon absent from all of them.",2026-08-21,2026-08-21,,,radon-disclosure
edu-no-bed-bug-disclosure-wy,Disclosures,No Statutory Bed Bug Disclosure Requirement,WY,TRUE,,"Unlike Colorado, which requires disclosing a property's bed bug history within the past 8 months, Wyoming has no statutory bed bug disclosure requirement. Wyoming's only two state-mandated lease disclosures are the federal lead-based-paint disclosure and the written notice of any nonrefundable portion of the security deposit. If your property is within a city or county that has its own bed bug or pest-notice ordinance, that would be a local requirement layered on top — not something imposed by Wyoming state law.",RECOMMENDED,LANDLORD_EDUCATION,VERIFIED,"WY added 2026-08-21, backlog item #2 from session 5's full-library audit (§11). Confirmed via 6 independent sources consistently naming only 2 WY-mandated disclosures (Innago, Nolo, Azibo, AAOA, lpmccasper.com, LeaseLenses), none including bed bugs. One outlier (iPropertyManagement) listed a 'bed bug disclosure' and 'mold disclosure' as items to include — reads as generic template content reused across the site's other state pages rather than a WY-specific legal citation; not corroborated by any other source and one source (lpmccasper.com) explicitly frames any such requirement as local/municipal, not state law. Treated as unreliable, not adopted, consistent with the pattern of outlier sources already caught this session (Hemlane, generis, LeaseWisely).",2026-08-21,2026-08-21,,,bed-bug-disclosure
